Nama;Email;NIK;Jenis_Dokumen;Tanggal_Permohonan;Status;Tanggal_Selesai
Rudi Hidayat;rudihidayat69@gmail.com;4722517916;Kartu Keluarga;12/07/2024;Ditolak;12/09/2024
Susan Sirait;susansirait79@gmail.com;7813121944;KTP;9/16/2024;Ditolak;9/22/2024
Bambang Wijaya;bambangwijaya57@gmail.com;2064997809;Kartu Keluarga;6/15/2024;Disetujui;6/20/2024
Dewi Gunawan;dewigunawan50@gmail.com;8584746828;Akta Kelahiran;5/31/2024;Diproses;06/01/2024
Erni Gunawan;ernigunawan53@gmail.com;9599384041;Akta Kematian;10/14/2024;Disetujui;10/17/2024
Susan Hartono;susanhartono18@gmail.com;6272903836;Akta Kelahiran;1/22/2025;Diproses;1/27/2025
Slamet Saputra;slametsaputra36@gmail.com;8454533060;Akta Kematian;6/27/2024;Diproses;07/01/2024
Ani Andriani;aniandriani26@gmail.com;4705981314;KTP;11/09/2024;Disetujui;11/16/2024
Muhammad Hartono;muhammadhartono10@gmail.com;8321157440;Akta Kematian;07/04/2024;Disetujui;07/11/2024
Ahmad Hutapea;ahmadhutapea76@gmail.com;599555598;Akta Kelahiran;05/12/2025;Ditolak;5/19/2025
Slamet Santoso;slametsantoso32@gmail.com;9768155808;Kartu Keluarga;12/14/2024;Diproses;12/18/2024
Hendro Santoso;hendrosantoso52@gmail.com;2136781540;Akta Kelahiran;7/13/2024;Ditolak;7/18/2024
Slamet Hartono;slamethartono67@gmail.com;8751139987;Kartu Keluarga;10/06/2024;Ditolak;10/07/2024
Hendro Prasetyo;hendroprasetyo70@gmail.com;9320425429;KTP;1/25/2025;Disetujui;1/28/2025
Maya Nugroho;mayanugroho27@gmail.com;6633589078;KTP;6/20/2024;Disetujui;6/25/2024
Hadi Saputra;hadisaputra27@gmail.com;6062815777;KTP;10/24/2024;Disetujui;10/26/2024
Wati Wijaya;watiwijaya93@gmail.com;9290426580;KTP;7/17/2024;Diproses;7/21/2024
Muhammad Andriani;muhammadandriani24@gmail.com;2052035464;Akta Kematian;09/06/2024;Ditolak;09/07/2024
Rina Hutapea;rinahutapea99@gmail.com;4306810829;KTP;11/07/2024;Disetujui;11/12/2024
Ani Pranoto;anipranoto86@gmail.com;5838610908;Kartu Keluarga;7/14/2024;Diproses;7/17/2024
Hadi Nugroho;hadinugroho29@gmail.com;6107206364;Akta Kematian;09/04/2024;Ditolak;09/06/2024
Maya Hidayat;mayahidayat11@gmail.com;7364885047;Akta Kematian;5/16/2024;Disetujui;5/23/2024
Yulio Hidayat;yuliohidayat38@gmail.com;4083090539;Akta Kematian;06/03/2024;Ditolak;06/04/2024
Hendro Pranoto;hendropranoto88@gmail.com;4617754550;Kartu Keluarga;04/08/2025;Diproses;04/11/2025
Rini Susanto;rinisusanto65@gmail.com;5030091346;Akta Kematian;02/07/2025;Ditolak;02/10/2025
Wati Wijaya;watiwijaya86@gmail.com;5485759492;Akta Kematian;6/16/2024;Disetujui;6/21/2024
Adi Sirait;adisirait57@gmail.com;9503784316;Kartu Keluarga;7/29/2024;Ditolak;7/31/2024
Iwan Hutapea;iwanhutapea60@gmail.com;8430212575;Kartu Keluarga;4/21/2025;Diproses;4/24/2025
Eko Prasetyo;ekoprasetyo94@gmail.com;6068338353;Akta Kelahiran;1/28/2025;Diproses;1/30/2025
Fitri Susanto;fitrisusanto51@gmail.com;176444562;Akta Kelahiran;8/26/2024;Ditolak;8/31/2024
Yuni Prasetyo;yuniprasetyo23@gmail.com;5312254537;Akta Kelahiran;1/30/2025;Diproses;02/03/2025
Indah Hidayat;indahhidayat87@gmail.com;4906627723;Akta Kelahiran;08/03/2024;Disetujui;08/06/2024
Budi Setiawan;budisetiawan57@gmail.com;3348824359;Akta Kelahiran;3/22/2025;Ditolak;3/24/2025
Iwan Pranoto;iwanpranoto15@gmail.com;2608238779;Kartu Keluarga;7/27/2024;Ditolak;08/01/2024
Agus Nugroho;agusnugroho80@gmail.com;8648143427;KTP;09/11/2024;Ditolak;9/13/2024
Maya Hartono;mayahartono35@gmail.com;529192495;Akta Kelahiran;10/20/2024;Disetujui;10/25/2024
Rina Setiawan;rinasetiawan50@gmail.com;5882022864;KTP;3/27/2025;Ditolak;3/29/2025
Hadi Saputra;hadisaputra41@gmail.com;9938259361;Kartu Keluarga;6/20/2024;Ditolak;6/27/2024
Maya Susanto;mayasusanto32@gmail.com;4285071676;Kartu Keluarga;11/28/2024;Ditolak;11/29/2024
Ani Gunawan;anigunawan12@gmail.com;6177000094;Akta Kelahiran;12/14/2024;Diproses;12/15/2024
Siti Saputra;sitisaputra57@gmail.com;775537920;Kartu Keluarga;10/31/2024;Ditolak;11/07/2024
Rudi Nugroho;rudinugroho93@gmail.com;7333439772;KTP;2/17/2025;Diproses;2/22/2025
Iwan Setiawan;iwansetiawan60@gmail.com;7177106820;Akta Kematian;01/11/2025;Ditolak;1/18/2025
Hadi Setiawan;hadisetiawan87@gmail.com;7067895841;Akta Kelahiran;5/15/2025;Disetujui;5/22/2025
Ani Prasetyo;aniprasetyo33@gmail.com;5847193251;Akta Kelahiran;07/09/2024;Disetujui;07/10/2024
Rudi Hidayat;rudihidayat80@gmail.com;3019970408;Akta Kematian;2/24/2025;Diproses;03/03/2025
Hendro Wijaya;hendrowijaya20@gmail.com;6954356961;Akta Kematian;5/16/2024;Disetujui;5/23/2024
Susan Hartono;susanhartono64@gmail.com;1624282885;Kartu Keluarga;11/29/2024;Disetujui;12/02/2024
Agus Hidayat;agushidayat30@gmail.com;2344026366;Akta Kelahiran;12/01/2024;Disetujui;12/03/2024
Bambang Nugroho;bambangnugroho74@gmail.com;699887912;Akta Kelahiran;6/26/2024;Diproses;6/29/2024
Agus Hidayat;agushidayat78@gmail.com;8334131654;Akta Kematian;02/08/2025;Disetujui;2/14/2025
Rini Kurniawan;rinikurniawan91@gmail.com;3449045128;Akta Kematian;8/26/2024;Ditolak;09/02/2024
Siti Prasetyo;sitiprasetyo73@gmail.com;4237977745;Akta Kelahiran;05/06/2025;Ditolak;05/11/2025
Yuni Andriani;yuniandriani87@gmail.com;8682435418;Akta Kematian;4/14/2025;Diproses;4/21/2025
Rini Kurniawan;rinikurniawan16@gmail.com;9694449678;Akta Kelahiran;12/14/2024;Disetujui;12/20/2024
Rudi Sirait;rudisirait27@gmail.com;636978292;KTP;2/13/2025;Disetujui;2/16/2025
Adi Wijaya;adiwijaya82@gmail.com;6944428574;Kartu Keluarga;3/20/2025;Diproses;3/24/2025
Erni Prasetyo;erniprasetyo13@gmail.com;7276065303;Kartu Keluarga;05/03/2025;Diproses;05/05/2025
Wati Pranoto;watipranoto13@gmail.com;8478342286;Akta Kematian;06/03/2024;Disetujui;06/09/2024
Indah Hutapea;indahhutapea98@gmail.com;4615054591;KTP;5/16/2024;Ditolak;5/23/2024
Dedi Hutapea;dedihutapea15@gmail.com;6299910929;Akta Kelahiran;10/17/2024;Ditolak;10/24/2024
Erni Wijaya;erniwijaya78@gmail.com;3152731788;Akta Kematian;11/10/2024;Disetujui;11/11/2024
Muhammad Susanto;muhammadsusanto95@gmail.com;7896015209;Akta Kematian;6/29/2024;Disetujui;07/04/2024
Bambang Sirait;bambangsirait34@gmail.com;2806744400;Akta Kelahiran;3/17/2025;Ditolak;3/22/2025
Maya Setiawan;mayasetiawan32@gmail.com;2687009724;Kartu Keluarga;07/10/2024;Ditolak;7/14/2024
Adi Hartono;adihartono25@gmail.com;4570364102;KTP;7/22/2024;Ditolak;7/28/2024
Slamet Susanto;slametsusanto86@gmail.com;6492073674;KTP;1/20/2025;Disetujui;1/24/2025
Rina Hutapea;rinahutapea55@gmail.com;2919188618;Akta Kelahiran;5/30/2024;Disetujui;06/06/2024
Yuni Nugroho;yuninugroho17@gmail.com;9478733082;KTP;05/05/2025;Disetujui;05/10/2025
Lia Susanto;liasusanto44@gmail.com;7449492053;KTP;03/05/2025;Ditolak;03/08/2025
Fitri Nugroho;fitrinugroho92@gmail.com;8419230982;Kartu Keluarga;2/24/2025;Disetujui;2/27/2025
Indah Wijaya;indahwijaya21@gmail.com;1661502115;Akta Kematian;10/13/2024;Ditolak;10/15/2024
Ani Wijaya;aniwijaya94@gmail.com;5512393116;Kartu Keluarga;11/06/2024;Diproses;11/13/2024
Muhammad Hartono;muhammadhartono92@gmail.com;7106282665;Akta Kelahiran;10/22/2024;Ditolak;10/29/2024
Rina Nugroho;rinanugroho34@gmail.com;5677166264;Kartu Keluarga;10/08/2024;Disetujui;10/13/2024
Yulio Prasetyo;yulioprasetyo27@gmail.com;571469849;Akta Kelahiran;04/07/2025;Ditolak;04/11/2025
Taufik Saputra;taufiksaputra19@gmail.com;6933612969;KTP;10/17/2024;Ditolak;10/23/2024
Fitri Wijaya;fitriwijaya46@gmail.com;6835539075;Kartu Keluarga;04/02/2025;Diproses;04/04/2025
Hendro Hartono;hendrohartono93@gmail.com;2245948672;KTP;10/07/2024;Diproses;10/09/2024
Dewi Kurniawan;dewikurniawan10@gmail.com;4568906051;Kartu Keluarga;6/30/2024;Disetujui;07/07/2024
Muhammad Prasetyo;muhammadprasetyo65@gmail.com;2066073848;Akta Kematian;8/18/2024;Ditolak;8/21/2024
Rudi Wijaya;rudiwijaya40@gmail.com;1221561028;KTP;5/21/2024;Diproses;5/22/2024
Hendro Wijaya;hendrowijaya41@gmail.com;8209356065;Akta Kematian;05/02/2025;Diproses;05/05/2025
Siti Sirait;sitisirait61@gmail.com;1593303238;KTP;6/28/2024;Diproses;6/29/2024
Susan Setiawan;susansetiawan16@gmail.com;8048194522;Kartu Keluarga;4/13/2025;Disetujui;4/15/2025
Susan Setiawan;susansetiawan56@gmail.com;5258373153;KTP;10/31/2024;Disetujui;11/02/2024
Hadi Setiawan;hadisetiawan25@gmail.com;9254619890;KTP;3/14/2025;Disetujui;3/16/2025
Lia Andriani;liaandriani34@gmail.com;747784277;KTP;08/01/2024;Disetujui;08/04/2024
Dedi Santoso;dedisantoso14@gmail.com;9506513517;Kartu Keluarga;07/09/2024;Disetujui;07/10/2024
Dedi Hartono;dedihartono90@gmail.com;5562814426;KTP;01/12/2025;Disetujui;1/17/2025
Bambang Kurniawan;bambangkurniawan14@gmail.com;2569395501;Kartu Keluarga;03/05/2025;Ditolak;03/09/2025
Ani Santoso;anisantoso75@gmail.com;7280799825;Kartu Keluarga;8/27/2024;Diproses;8/28/2024
Taufik Santoso;taufiksantoso71@gmail.com;3525581277;Kartu Keluarga;03/01/2025;Disetujui;03/07/2025
Iwan Santoso;iwansantoso48@gmail.com;6350632840;Akta Kelahiran;01/11/2025;Diproses;01/12/2025
Indah Prasetyo;indahprasetyo84@gmail.com;4088062684;Akta Kelahiran;11/26/2024;Diproses;12/03/2024
Yuni Susanto;yunisusanto35@gmail.com;3320708509;Akta Kematian;08/07/2024;Disetujui;8/14/2024
Rita Santoso;ritasantoso31@gmail.com;5418540289;Kartu Keluarga;01/09/2025;Disetujui;01/11/2025
Dedi Hartono;dedihartono65@gmail.com;8576374867;KTP;2/21/2025;Diproses;2/24/2025
Wati Saputra;watisaputra70@gmail.com;8272312899;Akta Kematian;01/12/2025;Ditolak;1/15/2025
Muhammad Andriani;muhammadandriani48@gmail.com;6532020232;Kartu Keluarga;5/21/2024;Disetujui;5/25/2024
Bambang Sirait;bambangsirait23@gmail.com;3865186143;Kartu Keluarga;10/12/2024;Diproses;10/14/2024
Adi Gunawan;adigunawan82@gmail.com;3119534264;KTP;04/06/2025;Diproses;4/13/2025
Budi Wijaya;budiwijaya93@gmail.com;4110223834;Kartu Keluarga;1/15/2025;Diproses;1/18/2025
Ani Hutapea;anihutapea56@gmail.com;1361731685;Kartu Keluarga;5/18/2024;Disetujui;5/25/2024
Slamet Pranoto;slametpranoto50@gmail.com;928052232;KTP;04/09/2025;Ditolak;4/14/2025
Erni Setiawan;ernisetiawan36@gmail.com;9722193895;Akta Kematian;1/28/2025;Ditolak;02/03/2025
Indah Setiawan;indahsetiawan86@gmail.com;8028010337;Kartu Keluarga;3/23/2025;Diproses;3/26/2025
Rudi Gunawan;rudigunawan49@gmail.com;4292068209;Akta Kematian;4/29/2025;Ditolak;05/03/2025
Fitri Andriani;fitriandriani23@gmail.com;3909777748;KTP;8/28/2024;Ditolak;8/29/2024
Agus Gunawan;agusgunawan55@gmail.com;1940809914;Kartu Keluarga;08/08/2024;Ditolak;8/15/2024
Ani Hidayat;anihidayat98@gmail.com;7269444697;KTP;1/13/2025;Ditolak;1/19/2025
Hadi Gunawan;hadigunawan75@gmail.com;8545819084;Akta Kematian;02/03/2025;Ditolak;02/05/2025
Taufik Wijaya;taufikwijaya46@gmail.com;5185716241;Akta Kelahiran;4/29/2025;Ditolak;05/05/2025
Rina Sirait;rinasirait19@gmail.com;7363562772;KTP;9/15/2024;Disetujui;9/16/2024
Yuni Sirait;yunisirait83@gmail.com;7933764438;Akta Kelahiran;1/29/2025;Disetujui;1/30/2025
Ani Santoso;anisantoso51@gmail.com;1623398760;Kartu Keluarga;10/27/2024;Disetujui;10/28/2024
Lia Sirait;liasirait31@gmail.com;4440552444;Akta Kematian;4/22/2025;Disetujui;4/24/2025
Taufik Hartono;taufikhartono75@gmail.com;5457437908;KTP;11/27/2024;Disetujui;11/30/2024
Ahmad Saputra;ahmadsaputra98@gmail.com;3105214061;Akta Kematian;9/23/2024;Diproses;9/24/2024
Siti Hutapea;sitihutapea96@gmail.com;2951648227;KTP;7/24/2024;Diproses;7/29/2024
Lia Setiawan;liasetiawan19@gmail.com;1859203060;Kartu Keluarga;3/22/2025;Ditolak;3/24/2025
Hendro Susanto;hendrosusanto65@gmail.com;8293766773;KTP;04/02/2025;Diproses;04/03/2025
Hendro Gunawan;hendrogunawan57@gmail.com;9284155770;Akta Kelahiran;9/15/2024;Ditolak;9/20/2024
Fitri Hartono;fitrihartono94@gmail.com;964270528;Kartu Keluarga;6/18/2024;Ditolak;6/21/2024
Maya Hartono;mayahartono41@gmail.com;1562257729;Kartu Keluarga;03/05/2025;Diproses;03/08/2025
Eko Santoso;ekosantoso36@gmail.com;2420168466;Akta Kelahiran;7/18/2024;Ditolak;7/21/2024
Fitri Hutapea;fitrihutapea65@gmail.com;3597338748;KTP;8/28/2024;Ditolak;09/04/2024
Lia Andriani;liaandriani55@gmail.com;4103055359;Akta Kematian;9/28/2024;Diproses;10/01/2024
Yulio Gunawan;yuliogunawan26@gmail.com;9503539688;KTP;02/05/2025;Diproses;02/09/2025
Iwan Kurniawan;iwankurniawan98@gmail.com;2262000909;KTP;6/26/2024;Diproses;07/01/2024
Lia Setiawan;liasetiawan68@gmail.com;5767273623;Kartu Keluarga;9/27/2024;Disetujui;9/29/2024
Dewi Setiawan;dewisetiawan78@gmail.com;3775152054;KTP;7/28/2024;Disetujui;08/02/2024
Dedi Santoso;dedisantoso16@gmail.com;589656833;Akta Kematian;3/13/2025;Disetujui;3/18/2025
Dewi Gunawan;dewigunawan76@gmail.com;1671742502;Akta Kelahiran;10/08/2024;Disetujui;10/12/2024
Slamet Santoso;slametsantoso84@gmail.com;9807691697;Kartu Keluarga;8/23/2024;Ditolak;8/24/2024
Rina Wijaya;rinawijaya41@gmail.com;5385409138;KTP;06/01/2024;Disetujui;06/05/2024
Budi Susanto;budisusanto25@gmail.com;145680386;KTP;10/17/2024;Ditolak;10/18/2024
Rudi Susanto;rudisusanto99@gmail.com;2887890904;KTP;8/19/2024;Diproses;8/26/2024
Nurul Prasetyo;nurulprasetyo43@gmail.com;7552355005;Akta Kematian;8/23/2024;Ditolak;8/28/2024
Rina Setiawan;rinasetiawan60@gmail.com;8197935659;KTP;11/25/2024;Diproses;11/29/2024
Susan Wijaya;susanwijaya93@gmail.com;6878385715;Akta Kematian;11/22/2024;Disetujui;11/25/2024
Indah Hutapea;indahhutapea61@gmail.com;4668123761;Akta Kematian;4/30/2025;Ditolak;05/04/2025
Eko Gunawan;ekogunawan96@gmail.com;2207484976;Akta Kelahiran;4/22/2025;Ditolak;4/23/2025
Fitri Prasetyo;fitriprasetyo74@gmail.com;6084613437;Akta Kelahiran;02/02/2025;Diproses;02/06/2025
Rina Setiawan;rinasetiawan31@gmail.com;136461010;KTP;5/22/2024;Disetujui;5/29/2024
Indah Prasetyo;indahprasetyo13@gmail.com;8134756734;KTP;02/07/2025;Disetujui;02/11/2025
Iwan Kurniawan;iwankurniawan70@gmail.com;6897135999;Akta Kematian;05/08/2025;Ditolak;5/15/2025
Rudi Hutapea;rudihutapea55@gmail.com;1438957489;KTP;02/06/2025;Diproses;02/11/2025
Ahmad Hidayat;ahmadhidayat38@gmail.com;8328897605;KTP;08/03/2024;Disetujui;08/09/2024
Siti Prasetyo;sitiprasetyo18@gmail.com;8340327121;Akta Kematian;5/23/2024;Diproses;5/26/2024
Rina Prasetyo;rinaprasetyo74@gmail.com;6345760318;KTP;2/17/2025;Disetujui;2/21/2025
Hendro Kurniawan;hendrokurniawan42@gmail.com;5577890438;Kartu Keluarga;10/06/2024;Ditolak;10/13/2024
Hendro Wijaya;hendrowijaya35@gmail.com;3504266467;Akta Kematian;2/28/2025;Disetujui;03/07/2025
Rudi Santoso;rudisantoso82@gmail.com;4685444620;Akta Kelahiran;5/25/2024;Disetujui;5/26/2024
Erni Wijaya;erniwijaya10@gmail.com;4104708350;Akta Kematian;10/25/2024;Disetujui;10/30/2024
Siti Wijaya;sitiwijaya36@gmail.com;5434983210;Kartu Keluarga;06/11/2024;Diproses;6/13/2024
Eko Saputra;ekosaputra57@gmail.com;1059945600;Akta Kematian;12/24/2024;Ditolak;12/27/2024
Eko Pranoto;ekopranoto69@gmail.com;1955597057;Akta Kelahiran;10/11/2024;Diproses;10/17/2024
Dedi Setiawan;dedisetiawan19@gmail.com;3939267365;Akta Kematian;7/17/2024;Disetujui;7/22/2024
Hendro Sirait;hendrosirait73@gmail.com;4360000610;KTP;2/22/2025;Diproses;2/28/2025
Bambang Hartono;bambanghartono76@gmail.com;3492302432;KTP;03/04/2025;Disetujui;03/05/2025
Hendro Hidayat;hendrohidayat96@gmail.com;8350534946;Akta Kematian;2/14/2025;Ditolak;2/21/2025
Indah Hartono;indahhartono91@gmail.com;4694307971;Kartu Keluarga;08/01/2024;Disetujui;08/06/2024
Fitri Hidayat;fitrihidayat77@gmail.com;5748035291;KTP;3/15/2025;Disetujui;3/19/2025
Wati Gunawan;watigunawan41@gmail.com;6480337043;KTP;06/04/2024;Ditolak;06/05/2024
Adi Setiawan;adisetiawan93@gmail.com;1417373494;Kartu Keluarga;3/25/2025;Disetujui;3/26/2025
Yulio Gunawan;yuliogunawan60@gmail.com;8104758287;Akta Kelahiran;7/30/2024;Disetujui;08/04/2024
Ahmad Saputra;ahmadsaputra55@gmail.com;2257819022;Kartu Keluarga;4/16/2025;Disetujui;4/18/2025
Adi Prasetyo;adiprasetyo36@gmail.com;6431612817;Akta Kelahiran;06/07/2024;Disetujui;06/10/2024
Yuni Pranoto;yunipranoto19@gmail.com;4313266489;Akta Kematian;10/11/2024;Disetujui;10/13/2024
Muhammad Wijaya;muhammadwijaya38@gmail.com;1917326681;Akta Kelahiran;4/28/2025;Disetujui;05/02/2025
Yuni Sirait;yunisirait80@gmail.com;4897720081;Kartu Keluarga;08/12/2024;Disetujui;8/19/2024
Siti Prasetyo;sitiprasetyo39@gmail.com;4777537033;Kartu Keluarga;02/06/2025;Diproses;2/13/2025
Susan Hutapea;susanhutapea63@gmail.com;3009155372;Kartu Keluarga;1/26/2025;Ditolak;02/02/2025
Siti Kurniawan;sitikurniawan15@gmail.com;334771321;KTP;1/22/2025;Diproses;1/28/2025
Indah Setiawan;indahsetiawan34@gmail.com;1143969368;Kartu Keluarga;07/06/2024;Ditolak;07/12/2024
Maya Wijaya;mayawijaya75@gmail.com;3222827259;Kartu Keluarga;1/13/2025;Ditolak;1/14/2025
Hadi Nugroho;hadinugroho74@gmail.com;2692967822;KTP;8/28/2024;Disetujui;8/30/2024
Siti Setiawan;sitisetiawan20@gmail.com;3141127367;Kartu Keluarga;2/16/2025;Ditolak;2/18/2025
Lia Nugroho;lianugroho61@gmail.com;9035053722;KTP;07/06/2024;Ditolak;7/13/2024
Yulio Nugroho;yulionugroho37@gmail.com;5409663181;KTP;8/19/2024;Disetujui;8/20/2024
Rini Sirait;rinisirait60@gmail.com;6627923377;Akta Kelahiran;10/19/2024;Diproses;10/23/2024
Taufik Kurniawan;taufikkurniawan17@gmail.com;5848234707;Akta Kematian;1/19/2025;Diproses;1/24/2025
Ani Santoso;anisantoso62@gmail.com;6542100452;Akta Kelahiran;7/15/2024;Diproses;7/18/2024
Dewi Hartono;dewihartono96@gmail.com;568886437;Akta Kelahiran;04/08/2025;Disetujui;04/09/2025
Yuni Susanto;yunisusanto11@gmail.com;133298654;KTP;05/07/2025;Disetujui;05/08/2025
Dedi Gunawan;dedigunawan68@gmail.com;6485554160;KTP;4/13/2025;Diproses;4/20/2025
Siti Saputra;sitisaputra46@gmail.com;2604195800;Akta Kelahiran;2/26/2025;Diproses;2/27/2025
Wati Hutapea;watihutapea36@gmail.com;3702148842;Akta Kelahiran;3/16/2025;Ditolak;3/20/2025
Rudi Santoso;rudisantoso86@gmail.com;1222721890;KTP;05/12/2025;Disetujui;5/13/2025
Rita Hartono;ritahartono66@gmail.com;700399756;Akta Kelahiran;07/10/2024;Disetujui;7/16/2024
Nurul Prasetyo;nurulprasetyo68@gmail.com;5653596366;Akta Kematian;4/13/2025;Ditolak;4/19/2025
Rini Nugroho;rininugroho15@gmail.com;412676548;Kartu Keluarga;11/17/2024;Ditolak;11/20/2024
Lia Hartono;liahartono42@gmail.com;5169848681;KTP;12/22/2024;Diproses;12/25/2024
Ahmad Gunawan;ahmadgunawan88@gmail.com;4148768506;Kartu Keluarga;1/16/2025;Disetujui;1/20/2025
Agus Andriani;agusandriani21@gmail.com;6774276948;KTP;11/21/2024;Disetujui;11/27/2024
Indah Gunawan;indahgunawan57@gmail.com;5503786724;Akta Kelahiran;07/08/2024;Diproses;07/11/2024
Rudi Santoso;rudisantoso81@gmail.com;4423949699;Akta Kelahiran;06/12/2024;Ditolak;6/17/2024
Adi Susanto;adisusanto78@gmail.com;6802152242;Akta Kelahiran;3/16/2025;Ditolak;3/20/2025
Susan Saputra;susansaputra82@gmail.com;1447412420;KTP;11/27/2024;Ditolak;12/01/2024
Muhammad Pranoto;muhammadpranoto59@gmail.com;1486057392;Akta Kematian;05/09/2025;Diproses;5/13/2025
Maya Hidayat;mayahidayat86@gmail.com;8749233382;Akta Kelahiran;3/19/2025;Disetujui;3/20/2025
Erni Andriani;erniandriani52@gmail.com;7084780233;Akta Kelahiran;02/07/2025;Diproses;02/10/2025
Taufik Hutapea;taufikhutapea54@gmail.com;9427386767;Kartu Keluarga;3/19/2025;Disetujui;3/26/2025
Hadi Gunawan;hadigunawan11@gmail.com;9918970713;KTP;12/30/2024;Diproses;01/01/2025
Adi Andriani;adiandriani21@gmail.com;9307425116;Akta Kelahiran;9/29/2024;Ditolak;10/03/2024
Adi Prasetyo;adiprasetyo26@gmail.com;8559954428;Kartu Keluarga;04/08/2025;Ditolak;4/15/2025
Yulio Sirait;yuliosirait26@gmail.com;5402856747;Kartu Keluarga;7/27/2024;Ditolak;7/31/2024
Rudi Wijaya;rudiwijaya94@gmail.com;7319284126;Akta Kematian;2/20/2025;Disetujui;2/22/2025
Adi Prasetyo;adiprasetyo81@gmail.com;3866271152;Kartu Keluarga;10/11/2024;Ditolak;10/12/2024
Fitri Susanto;fitrisusanto80@gmail.com;2197207110;KTP;5/20/2024;Diproses;5/24/2024
Slamet Nugroho;slametnugroho92@gmail.com;1362904947;KTP;6/22/2024;Disetujui;6/28/2024
Maya Santoso;mayasantoso77@gmail.com;6840930298;KTP;5/30/2024;Ditolak;06/01/2024
Ani Nugroho;aninugroho74@gmail.com;9073983862;KTP;4/19/2025;Ditolak;4/25/2025
Rini Wijaya;riniwijaya91@gmail.com;5161446460;Kartu Keluarga;04/11/2025;Diproses;04/12/2025
Iwan Hidayat;iwanhidayat36@gmail.com;5574829115;Akta Kematian;08/12/2024;Ditolak;8/15/2024
Rita Saputra;ritasaputra34@gmail.com;7705406462;KTP;9/26/2024;Disetujui;9/27/2024
Taufik Nugroho;taufiknugroho40@gmail.com;7364140249;Akta Kematian;10/16/2024;Disetujui;10/19/2024
Susan Saputra;susansaputra39@gmail.com;7675913174;Akta Kematian;3/20/2025;Diproses;3/25/2025
Agus Santoso;agussantoso98@gmail.com;3305465585;Kartu Keluarga;6/29/2024;Disetujui;07/06/2024
Hendro Andriani;hendroandriani63@gmail.com;1716463446;KTP;9/19/2024;Ditolak;9/20/2024
Indah Pranoto;indahpranoto48@gmail.com;290246798;Akta Kematian;3/28/2025;Diproses;04/01/2025
Taufik Susanto;taufiksusanto78@gmail.com;6383114256;Akta Kelahiran;7/27/2024;Diproses;7/30/2024
Fitri Susanto;fitrisusanto38@gmail.com;1709427895;Akta Kematian;09/11/2024;Disetujui;9/15/2024
Iwan Hidayat;iwanhidayat14@gmail.com;214646677;Akta Kelahiran;5/20/2024;Diproses;5/22/2024
Bambang Hidayat;bambanghidayat24@gmail.com;4780930763;KTP;11/20/2024;Diproses;11/23/2024
Bambang Santoso;bambangsantoso63@gmail.com;7986240721;Kartu Keluarga;12/03/2024;Diproses;12/07/2024
Susan Pranoto;susanpranoto85@gmail.com;6438653511;Kartu Keluarga;10/19/2024;Disetujui;10/21/2024
Lia Pranoto;liapranoto94@gmail.com;9472227541;KTP;12/03/2024;Disetujui;12/05/2024
Adi Setiawan;adisetiawan78@gmail.com;9272077804;Kartu Keluarga;02/05/2025;Diproses;02/08/2025
Dewi Santoso;dewisantoso79@gmail.com;6589217030;Kartu Keluarga;08/08/2024;Diproses;08/10/2024
Hadi Santoso;hadisantoso27@gmail.com;9926659444;Akta Kematian;08/06/2024;Ditolak;08/11/2024
Wati Nugroho;watinugroho62@gmail.com;6840769066;Kartu Keluarga;11/08/2024;Ditolak;11/15/2024
Wati Nugroho;watinugroho24@gmail.com;5413124251;KTP;3/16/2025;Diproses;3/18/2025
Hendro Setiawan;hendrosetiawan60@gmail.com;9421806631;Kartu Keluarga;3/23/2025;Disetujui;3/25/2025
Maya Wijaya;mayawijaya27@gmail.com;2450217271;Akta Kelahiran;02/04/2025;Diproses;02/08/2025
Rita Setiawan;ritasetiawan56@gmail.com;5109901141;Kartu Keluarga;06/04/2024;Disetujui;06/11/2024
Hendro Sirait;hendrosirait55@gmail.com;87035365;Akta Kelahiran;9/27/2024;Ditolak;10/01/2024
Slamet Saputra;slametsaputra36@gmail.com;8158622697;Kartu Keluarga;3/26/2025;Ditolak;3/30/2025
Susan Hutapea;susanhutapea59@gmail.com;1713755242;Akta Kelahiran;06/04/2024;Ditolak;06/09/2024
Rita Prasetyo;ritaprasetyo13@gmail.com;1781599937;Kartu Keluarga;1/29/2025;Diproses;02/03/2025
Ani Nugroho;aninugroho82@gmail.com;3463947626;Akta Kelahiran;2/18/2025;Disetujui;2/19/2025
Maya Andriani;mayaandriani26@gmail.com;3865327540;Akta Kematian;12/12/2024;Disetujui;12/17/2024
Siti Saputra;sitisaputra75@gmail.com;5467638518;Kartu Keluarga;11/28/2024;Disetujui;12/05/2024
Ani Susanto;anisusanto80@gmail.com;198165457;KTP;9/23/2024;Disetujui;9/30/2024
Slamet Sirait;slametsirait17@gmail.com;4484682052;Akta Kelahiran;11/11/2024;Ditolak;11/15/2024
Maya Pranoto;mayapranoto79@gmail.com;3926167363;KTP;05/07/2025;Diproses;5/14/2025
Hadi Nugroho;hadinugroho80@gmail.com;4756732262;Akta Kelahiran;11/04/2024;Diproses;11/08/2024
Wati Susanto;watisusanto28@gmail.com;1314322821;Akta Kelahiran;4/17/2025;Ditolak;4/20/2025
